run,draft_model_name,max_budget,gen_rate,speed,draft_iters,iters,input_0,input_1,mem_use,min_CLP,min_log_prob,new_tokens,prompt_len,t0,t1,tft,tree_h,tree_size,tree_w
2,Qwen/Qwen2.5-3B,64,8.0,4.09,10.8,4,167,65,46.82,-4.71,,32,532,1.62,0.33,4.0982,9.8,64,15
2,Qwen/Qwen2.5-3B,128,6.4,2.11,12.4,5,306,129,47.2,-5.27,,32,532,2.378,0.656,5.1731,11.4,128,26
2,Qwen/Qwen2.5-3B,256,8.0,1.83,14.2,6,745,257,47.96,-6.28,,48,532,3.49,0.89,6.4461,12.7,256,49
2,Qwen/Qwen2.5-3B,512,6.4,1.23,13.8,5,1320,513,49.45,-7.34,,32,532,3.786,1.434,4.4807,11.0,512,148
2,Qwen/Qwen2.5-3B,1024,11.5,1.05,26.2,4,3779,1025,52.51,-7.52,,46,532,8.655,2.335,14.071,17.2,1024,158
3,Qwen/Qwen2.5-0.5B,16,6.8,8.0,7.4,5,42,17,33.85,-2.82,,34,150,0.518,0.334,0.8684,6.4,16,3
3,Qwen/Qwen2.5-0.5B,32,8.2,7.53,10.4,5,112,33,33.95,-3.72,,41,150,0.72,0.368,0.993,9.4,32,6
3,Qwen/Qwen2.5-0.5B,64,5.3,4.27,12.1,7,189,65,34.14,-4.38,,37,150,0.85,0.3871,1.0919,11.1,64,11
3,Qwen/Qwen2.5-0.5B,128,9.8,5.35,15.2,4,483,129,34.51,-5.22,,39,150,1.135,0.685,1.5317,14.2,128,20
3,Qwen/Qwen2.5-0.5B,256,7.2,3.22,18.0,5,853,257,35.27,-5.82,,36,150,1.344,0.892,2.3543,16.4,256,36
3,Qwen/Qwen2.5-0.5B,512,8.0,3.73,9.0,7,1036,513,36.77,-10.53,,56,150,0.7314,1.4157,1.965,7.0,512,246
3,Qwen/Qwen2.5-0.5B,1024,23.0,4.4,32.0,2,5537,1025,39.78,-7.3,,46,150,2.775,2.455,4.5953,22.0,1024,104
3,Qwen/Qwen2.5-0.5B,2048,10.2,1.1,32.0,4,8841,2049,45.82,-9.46,,41,150,3.1425,6.15,8.1383,9.5,2048,487
3,Qwen/Qwen2.5-1.5B,16,5.3,4.87,9.3,7,52,17,40.89,-2.51,,37,150,0.8043,0.2829,1.2244,8.3,16,3
3,Qwen/Qwen2.5-1.5B,32,11.3,6.69,16.7,3,137,33,40.99,-3.53,,34,150,1.3967,0.3,1.1742,15.7,32,4
3,Qwen/Qwen2.5-1.5B,64,7.6,4.52,14.8,5,224,65,41.18,-4.29,,38,150,1.358,0.322,1.3282,13.8,64,8
3,Qwen/Qwen2.5-1.5B,128,10.2,3.74,19.8,4,522,129,41.56,-4.74,,41,150,2.11,0.6325,1.9079,18.8,128,14
3,Qwen/Qwen2.5-1.5B,256,10.7,2.67,24.0,3,1055,257,42.31,-5.51,,32,150,3.1233,0.87,2.4456,22.0,256,23
3,Qwen/Qwen2.5-1.5B,512,8.5,2.99,9.7,6,1112,513,43.83,-13.74,,51,150,1.435,1.4117,2.529,7.5,512,248
3,Qwen/Qwen2.5-1.5B,1024,11.3,1.39,31.3,3,4981,1025,46.86,-7.29,,34,150,5.82,2.3567,7.0461,21.0,1024,119
3,Qwen/Qwen2.5-1.5B,2048,9.5,0.71,32.0,4,7312,2049,52.91,-9.47,,38,150,7.2625,6.075,11.9694,10.0,2048,307
3,Qwen/Qwen2.5-3B,16,10.0,5.57,11.2,4,52,17,44.27,-2.47,,40,150,1.51,0.2825,2.2494,10.2,16,3
3,Qwen/Qwen2.5-3B,32,16.0,6.17,17.7,3,126,33,44.36,-3.69,,48,150,2.2967,0.2967,3.225,16.7,32,4
3,Qwen/Qwen2.5-3B,64,5.6,2.11,16.1,7,187,65,44.55,-4.36,,39,150,2.3186,0.3229,4.9318,15.1,64,9
3,Qwen/Qwen2.5-3B,128,15.0,3.13,22.3,3,506,129,44.93,-4.99,,45,150,4.1533,0.6433,5.9251,21.3,128,12
3,Qwen/Qwen2.5-3B,256,15.0,2.36,23.0,3,1071,257,45.69,-5.51,,45,150,5.47,0.8733,6.8856,21.3,256,28
3,Qwen/Qwen2.5-3B,512,9.0,2.02,10.4,5,1241,513,47.18,-11.51,,45,150,3.046,1.416,3.4601,8.0,512,266
3,Qwen/Qwen2.5-3B,1024,11.3,1.0,24.0,3,4854,1025,50.24,-10.57,,34,150,9.06,2.3067,12.8283,14.7,1024,259
4,Qwen/Qwen2.5-0.5B,16,3.0,3.76,6.4,12,39,17,33.7,-3.34,,36,123,0.4567,0.3433,1.1692,5.4,16,4
4,Qwen/Qwen2.5-0.5B,32,4.6,4.69,8.8,8,95,33,33.79,-3.96,,37,123,0.6088,0.3787,1.254,7.8,32,7
4,Qwen/Qwen2.5-0.5B,64,6.0,5.36,10.0,6,167,65,33.98,-4.72,,36,123,0.7117,0.4083,1.399,9.0,64,16
4,Qwen/Qwen2.5-0.5B,128,4.7,3.41,9.7,7,284,129,34.36,-5.56,,33,123,0.7157,0.6686,1.5407,8.7,128,33
4,Qwen/Qwen2.5-0.5B,256,4.0,2.39,10.2,5,550,257,35.11,-6.27,,20,123,0.79,0.878,1.8476,9.0,256,61
4,Qwen/Qwen2.5-0.5B,512,5.8,2.52,11.2,6,1165,513,36.62,-8.71,,35,123,0.8983,1.4167,1.8126,8.3,512,203
4,Qwen/Qwen2.5-0.5B,1024,8.8,1.91,25.0,4,3901,1025,39.62,-7.74,,35,123,2.125,2.455,4.1041,16.0,1024,192
4,Qwen/Qwen2.5-0.5B,2048,7.4,0.8,32.0,5,7782,2049,45.66,-8.67,,37,123,3.166,6.138,8.328,10.2,2048,392
4,Qwen/Qwen2.5-1.5B,16,3.5,4.0,6.7,10,39,17,40.74,-3.17,,35,123,0.594,0.281,0.9536,5.7,16,5
4,Qwen/Qwen2.5-1.5B,32,7.0,5.81,10.6,5,98,33,40.83,-3.83,,35,123,0.91,0.298,1.1389,9.6,32,7
4,Qwen/Qwen2.5-1.5B,64,8.2,5.45,13.2,4,184,65,41.02,-4.47,,33,123,1.195,0.325,1.1623,12.2,64,12
4,Qwen/Qwen2.5-1.5B,128,6.0,2.67,16.0,4,326,129,41.4,-5.22,,24,123,1.6125,0.6325,1.4318,15.0,128,23
4,Qwen/Qwen2.5-1.5B,256,11.3,3.67,16.0,3,892,257,42.15,-5.95,,34,123,2.2167,0.87,2.1951,14.3,256,38
4,Qwen/Qwen2.5-1.5B,512,8.2,2.25,13.5,4,1750,513,43.68,-7.96,,33,123,2.265,1.4,2.2933,10.5,512,194
4,Qwen/Qwen2.5-1.5B,1024,10.7,1.39,28.3,3,4373,1025,46.7,-7.48,,32,123,5.3,2.3467,6.0237,18.3,1024,137
4,Qwen/Qwen2.5-1.5B,2048,8.2,0.64,31.2,5,6334,2049,52.75,-8.86,,41,123,6.702,6.076,11.7161,11.8,2048,420
4,Qwen/Qwen2.5-3B,16,3.3,3.01,6.0,10,35,17,44.11,-3.54,,33,123,0.816,0.279,1.8922,5.0,16,6
4,Qwen/Qwen2.5-3B,32,5.1,3.11,10.0,7,103,33,44.2,-3.79,,36,123,1.3643,0.29,2.0859,9.0,32,7
4,Qwen/Qwen2.5-3B,64,7.8,3.66,11.8,5,197,65,44.39,-4.54,,39,123,1.808,0.326,2.5297,10.8,64,11
4,Qwen/Qwen2.5-3B,128,12.3,3.27,14.7,3,433,129,44.77,-5.21,,37,123,3.1333,0.64,3.3017,13.7,128,17
